county,aqi,pollutant,number_of_sites_reporting,date
Chautauqua,38,Ozone,1,2021-02-09
Chautauqua,39,Ozone,1,2021-02-10
Chautauqua,37,Ozone,1,2021-02-11
Chautauqua,35,Ozone,1,2021-02-12
Chautauqua,37,Ozone,1,2021-02-13
Chautauqua,39,Ozone,1,2021-02-14
Chautauqua,39,PM2.5,1,2021-02-15
Chautauqua,34,Ozone,1,2021-02-16
Chautauqua,32,Ozone,1,2021-02-17
Chautauqua,38,Ozone,1,2021-02-18
Chautauqua,41,Ozone,1,2021-02-19
Chautauqua,45,Ozone,1,2021-02-20
Chautauqua,60,PM2.5,1,2021-02-21
Chautauqua,48,Ozone,1,2021-02-22
Chautauqua,45,Ozone,1,2021-02-23
Chautauqua,58,Ozone,1,2021-02-24
Chautauqua,39,Ozone,1,2021-02-26
Chautauqua,37,Ozone,1,2021-02-27
Chautauqua,35,Ozone,1,2021-02-28
Chautauqua,39,Ozone,1,2021-03-01
Chautauqua,39,Ozone,1,2021-03-02
Chautauqua,34,Ozone,1,2021-03-03
Chautauqua,39,Ozone,1,2021-03-04
Chautauqua,40,Ozone,1,2021-03-05
Chautauqua,39,Ozone,1,2021-03-06
Chautauqua,42,Ozone,1,2021-03-07
Chautauqua,44,Ozone,1,2021-03-08
Chautauqua,38,Ozone,1,2021-03-09
Chautauqua,67,Ozone,1,2021-03-10
Chautauqua,48,Ozone,1,2021-03-11
Chautauqua,40,Ozone,1,2021-03-12
Chautauqua,41,Ozone,1,2021-03-13
Chautauqua,41,Ozone,1,2021-03-14
Chautauqua,39,Ozone,1,2021-03-15
Chautauqua,33,Ozone,1,2021-03-16
Chautauqua,52,PM2.5,1,2021-03-17
Chautauqua,37,Ozone,1,2021-03-18
Chautauqua,40,Ozone,1,2021-03-19
Chautauqua,39,Ozone,1,2021-03-20
Chautauqua,45,Ozone,1,2021-03-21
Chautauqua,61,Ozone,1,2021-03-22
Chautauqua,49,Ozone,1,2021-03-23
Chautauqua,39,Ozone,1,2021-03-24
Chautauqua,44,Ozone,1,2021-03-25
Chautauqua,31,Ozone,1,2021-03-26
Chautauqua,33,Ozone,1,2021-03-27
Chautauqua,33,Ozone,1,2021-03-28
Chautauqua,39,Ozone,1,2021-03-29
Chautauqua,50,Ozone,1,2021-03-30
Chautauqua,40,Ozone,1,2021-03-31
Dutchess,25,Ozone,1,2021-01-01
Dutchess,29,Ozone,1,2021-01-02
Dutchess,28,Ozone,1,2021-01-03
Dutchess,21,Ozone,1,2021-01-04
Dutchess,25,Ozone,1,2021-01-05
Dutchess,28,Ozone,1,2021-01-06
Dutchess,31,Ozone,1,2021-01-07
Dutchess,27,Ozone,1,2021-01-08
Dutchess,34,Ozone,1,2021-01-09
Dutchess,30,Ozone,1,2021-01-10
Dutchess,19,Ozone,1,2021-01-11
Dutchess,18,Ozone,1,2021-01-12
Dutchess,19,Ozone,1,2021-01-13
Dutchess,14,Ozone,1,2021-01-14
Dutchess,28,Ozone,1,2021-01-15
Dutchess,28,Ozone,1,2021-01-16
Dutchess,28,Ozone,1,2021-01-17
Dutchess,26,Ozone,1,2021-01-18
Dutchess,25,Ozone,1,2021-01-19
Dutchess,32,Ozone,1,2021-01-20
Dutchess,22,Ozone,1,2021-01-21
Dutchess,31,Ozone,1,2021-01-22
Dutchess,33,Ozone,1,2021-01-23
Dutchess,36,Ozone,1,2021-01-24
Dutchess,34,Ozone,1,2021-01-25
Dutchess,31,Ozone,1,2021-01-26
Dutchess,34,Ozone,1,2021-01-27
Dutchess,34,Ozone,1,2021-01-28
Dutchess,34,Ozone,1,2021-01-29
Dutchess,35,Ozone,1,2021-01-30
Dutchess,31,Ozone,1,2021-01-31
Dutchess,31,Ozone,1,2021-02-01
Dutchess,34,Ozone,1,2021-02-02
Dutchess,37,Ozone,1,2021-02-03
Dutchess,41,Ozone,1,2021-02-04
Dutchess,31,Ozone,1,2021-02-05
Dutchess,38,Ozone,1,2021-02-06
Dutchess,36,Ozone,1,2021-02-07
Dutchess,35,Ozone,1,2021-02-08
Dutchess,31,Ozone,1,2021-02-09
Dutchess,39,Ozone,1,2021-02-10
Dutchess,39,Ozone,1,2021-02-11
Dutchess,34,Ozone,1,2021-02-12
Dutchess,33,Ozone,1,2021-02-13
Dutchess,35,Ozone,1,2021-02-14
Dutchess,31,Ozone,1,2021-02-15
Dutchess,31,Ozone,1,2021-02-16
Dutchess,37,Ozone,1,2021-02-17
Dutchess,32,Ozone,1,2021-02-18
Dutchess,32,Ozone,1,2021-02-19
Dutchess,39,Ozone,1,2021-02-20
