county,deaths,date
Schuyler,10,2021-01-07
Seneca,43,2021-01-07
St. Lawrence,48,2021-01-07
Statewide Total,31329,2021-01-07
Steuben,126,2021-01-07
Suffolk,2423,2021-01-07
Sullivan,47,2021-01-07
Tioga,54,2021-01-07
Tompkins,18,2021-01-07
Ulster,158,2021-01-07
Warren,32,2021-01-07
Washington,18,2021-01-07
Wayne,46,2021-01-07
Westchester,1713,2021-01-07
Wyoming,29,2021-01-07
Yates,13,2021-01-07
Albany,229,2021-01-08
Allegany,75,2021-01-08
Bronx,3605,2021-01-08
Broome,226,2021-01-08
Cattaraugus,57,2021-01-08
Cayuga,44,2021-01-08
Chautauqua,33,2021-01-08
Chemung,102,2021-01-08
Chenango,28,2021-01-08
Clinton,12,2021-01-08
Columbia,63,2021-01-08
Cortland,46,2021-01-08
Delaware,14,2021-01-08
Dutchess,270,2021-01-08
Erie,1285,2021-01-08
Essex,16,2021-01-08
Franklin,9,2021-01-08
Fulton,41,2021-01-08
Genesee,80,2021-01-08
Greene,36,2021-01-08
Hamilton,1,2021-01-08
Herkimer,35,2021-01-08
Jefferson,16,2021-01-08
Kings,5542,2021-01-08
Lewis,19,2021-01-08
Livingston,31,2021-01-08
Madison,72,2021-01-08
Manhattan,2294,2021-01-08
Monroe,670,2021-01-08
Montgomery,62,2021-01-08
Nassau,2470,2021-01-08
Niagara,211,2021-01-08
Non-NYS,158,2021-01-08
Oneida,293,2021-01-08
Onondaga,495,2021-01-08
Ontario,73,2021-01-08
Orange,540,2021-01-08
Orleans,65,2021-01-08
Oswego,54,2021-01-08
Otsego,20,2021-01-08
Putnam,68,2021-01-08
Queens,5465,2021-01-08
Rensselaer,92,2021-01-08
Richmond,919,2021-01-08
Rockland,606,2021-01-08
Saratoga,52,2021-01-08
Schenectady,105,2021-01-08
Schoharie,5,2021-01-08
Schuyler,10,2021-01-08
Seneca,44,2021-01-08
St. Lawrence,49,2021-01-08
Statewide Total,31519,2021-01-08
Steuben,127,2021-01-08
Suffolk,2438,2021-01-08
Sullivan,48,2021-01-08
Tioga,54,2021-01-08
Tompkins,18,2021-01-08
Ulster,165,2021-01-08
Warren,32,2021-01-08
Washington,18,2021-01-08
Wayne,46,2021-01-08
Westchester,1721,2021-01-08
Wyoming,31,2021-01-08
Yates,14,2021-01-08
Albany,231,2021-01-09
Allegany,75,2021-01-09
Bronx,3611,2021-01-09
Broome,227,2021-01-09
Cattaraugus,57,2021-01-09
Cayuga,50,2021-01-09
Chautauqua,36,2021-01-09
Chemung,103,2021-01-09
Chenango,31,2021-01-09
Clinton,12,2021-01-09
Columbia,65,2021-01-09
Cortland,46,2021-01-09
Delaware,14,2021-01-09
Dutchess,273,2021-01-09
Erie,1293,2021-01-09
Essex,16,2021-01-09
Franklin,9,2021-01-09
Fulton,42,2021-01-09
Genesee,80,2021-01-09
Greene,37,2021-01-09
Hamilton,1,2021-01-09
Herkimer,35,2021-01-09
