county,date,aqi,pollutant,number_of_sites_reporting
Bronx,2020-04-25,42,Ozone,4
Bronx,2020-04-26,39,Ozone,4
Bronx,2020-04-27,32,Ozone,4
Bronx,2020-04-28,40,Ozone,4
Bronx,2020-04-29,39,Ozone,4
Bronx,2020-04-30,42,Ozone,4
Bronx,2020-05-01,41,Ozone,4
Bronx,2020-05-02,37,Ozone,4
Bronx,2020-05-03,47,Ozone,4
Bronx,2020-05-04,41,Ozone,4
Bronx,2020-05-05,42,Ozone,4
Bronx,2020-05-06,33,Ozone,4
Bronx,2020-05-07,42,Ozone,4
Bronx,2020-05-08,34,Ozone,4
Bronx,2020-05-09,26,Ozone,4
Bronx,2020-05-10,43,Ozone,4
Bronx,2020-05-12,43,Ozone,4
Bronx,2020-05-13,43,Ozone,4
Bronx,2020-05-14,47,Ozone,4
Bronx,2020-05-15,64,Ozone,4
Bronx,2020-05-16,42,Ozone,4
Bronx,2020-05-17,44,Ozone,4
Bronx,2020-05-18,44,Ozone,4
Bronx,2020-05-19,40,Ozone,4
Bronx,2020-05-20,39,Ozone,4
Bronx,2020-05-21,35,Ozone,4
Bronx,2020-05-22,36,Ozone,4
Bronx,2020-05-23,34,Ozone,4
Bronx,2020-05-24,36,Ozone,4
Bronx,2020-05-25,30,PM2.5,4
Bronx,2020-05-26,42,PM2.5,4
Bronx,2020-05-27,29,Ozone,4
Bronx,2020-05-28,30,PM2.5,4
Bronx,2020-05-29,34,PM2.5,4
Bronx,2020-05-30,40,Ozone,4
Bronx,2020-05-31,31,Ozone,4
Bronx,2020-06-01,37,Ozone,4
Bronx,2020-06-02,46,Ozone,4
Bronx,2020-06-03,44,Ozone,4
Bronx,2020-06-04,77,Ozone,4
Bronx,2020-06-05,48,PM2.5,4
Bronx,2020-06-06,51,Ozone,4
Bronx,2020-06-07,35,Ozone,4
Bronx,2020-06-09,108,Ozone,4
Bronx,2020-06-10,50,Ozone,4
Bronx,2020-06-11,49,PM2.5,4
Bronx,2020-06-12,48,Ozone,4
Bronx,2020-06-13,37,Ozone,4
Bronx,2020-06-14,37,Ozone,4
Bronx,2020-06-15,38,Ozone,4
Bronx,2020-06-16,37,Ozone,4
Bronx,2020-06-17,31,Ozone,4
Bronx,2020-06-18,25,PM2.5,4
Bronx,2020-06-19,38,Ozone,4
Bronx,2020-06-20,52,PM2.5,4
Bronx,2020-06-21,43,Ozone,4
Bronx,2020-06-22,80,Ozone,4
Bronx,2020-06-23,53,PM2.5,4
Bronx,2020-06-24,44,Ozone,4
Bronx,2020-06-25,80,Ozone,4
Bronx,2020-06-26,54,Ozone,4
Bronx,2020-06-27,51,PM2.5,4
Bronx,2020-06-28,67,Ozone,4
Bronx,2020-06-29,36,PM2.5,4
Bronx,2020-06-30,35,Ozone,4
Bronx,2020-07-01,45,Ozone,4
Bronx,2020-07-02,43,PM2.5,4
Bronx,2020-07-03,59,PM2.5,4
Bronx,2020-07-04,75,PM2.5,4
Bronx,2020-07-05,62,PM2.5,4
Bronx,2020-07-06,71,Ozone,4
Bronx,2020-07-07,43,PM2.5,4
Bronx,2020-07-08,49,PM2.5,4
Bronx,2020-07-09,41,PM2.5,4
Bronx,2020-07-10,23,PM2.5,4
Bronx,2020-07-11,35,PM2.5,4
Bronx,2020-07-12,38,Ozone,4
Bronx,2020-07-13,43,Ozone,4
Bronx,2020-07-14,30,Ozone,4
Bronx,2020-07-15,40,Ozone,4
Bronx,2020-07-16,28,Ozone,4
Bronx,2020-07-17,44,Ozone,4
Bronx,2020-07-18,77,Ozone,4
Bronx,2020-07-19,100,Ozone,4
