Report Date,County,Place of Fatality,Deaths by County of Residence
1/6/21,Schoharie,0,5
1/6/21,Schuyler,4,10
1/6/21,Seneca,27,42
1/6/21,St. Lawrence,48,48
1/6/21,Statewide Total,31164,31164
1/6/21,Steuben,109,126
1/6/21,Suffolk,2454,2410
1/6/21,Sullivan,40,46
1/6/21,Tioga,39,54
1/6/21,Tompkins,21,18
1/6/21,Ulster,92,154
1/6/21,Warren,39,32
1/6/21,Washington,11,18
1/6/21,Wayne,24,46
1/6/21,Westchester,1858,1711
1/6/21,Wyoming,23,29
1/6/21,Yates,8,13
1/7/21,Albany,335,226
1/7/21,Allegany,54,75
1/7/21,Bronx,3285,3597
1/7/21,Broome,243,223
1/7/21,Cattaraugus,50,54
1/7/21,Cayuga,30,37
1/7/21,Chautauqua,33,31
1/7/21,Chemung,125,101
1/7/21,Chenango,20,28
1/7/21,Clinton,13,11
1/7/21,Columbia,59,62
1/7/21,Cortland,43,43
1/7/21,Delaware,6,14
1/7/21,Dutchess,277,263
1/7/21,Erie,1372,1282
1/7/21,Essex,13,16
1/7/21,Franklin,8,9
1/7/21,Fulton,28,40
1/7/21,Genesee,67,73
1/7/21,Greene,15,35
1/7/21,Hamilton,0,1
1/7/21,Herkimer,14,32
1/7/21,Jefferson,11,14
1/7/21,Kings,4969,5526
1/7/21,Lewis,6,18
1/7/21,Livingston,16,30
1/7/21,Madison,67,72
1/7/21,Manhattan,3696,2284
1/7/21,Monroe,737,656
1/7/21,Montgomery,56,59
1/7/21,Nassau,3013,2462
1/7/21,Niagara,149,208
1/7/21,Non-NYS,0,158
1/7/21,Oneida,290,288
1/7/21,Onondaga,533,487
1/7/21,Ontario,88,73
1/7/21,Orange,557,540
1/7/21,Orleans,42,65
1/7/21,Oswego,42,53
1/7/21,Otsego,23,20
1/7/21,Putnam,67,68
1/7/21,Queens,4386,5454
1/7/21,Rensselaer,76,89
1/7/21,Richmond,912,917
1/7/21,Rockland,559,600
1/7/21,Saratoga,34,51
1/7/21,Schenectady,92,101
1/7/21,Schoharie,0,5
1/7/21,Schuyler,4,10
1/7/21,Seneca,27,43
1/7/21,St. Lawrence,48,48
1/7/21,Statewide Total,31329,31329
1/7/21,Steuben,109,126
1/7/21,Suffolk,2467,2423
1/7/21,Sullivan,41,47
1/7/21,Tioga,39,54
1/7/21,Tompkins,21,18
1/7/21,Ulster,94,158
1/7/21,Warren,39,32
1/7/21,Washington,11,18
1/7/21,Wayne,24,46
1/7/21,Westchester,1863,1713
1/7/21,Wyoming,23,29
1/7/21,Yates,8,13
1/8/21,Albany,341,229
1/8/21,Allegany,54,75
